ID_produit;userRef;stock;ean13;description;bullet_points;etat_produit;Prix_vente_mini;Prix_vente_conseil;Categorie;title;weight;Photo1;Photo2;Photo3;Photo4;Photo5;Photo6;supplier;taxRate;isPack;height;length;width;otherRef1;Mode_transport;Prix_achat;Prix_transport;otherRef5;otherRef6;otherRef7;otherRef8;otherRef9;otherRef10;otherRef11;otherRef14
;EAN3760059700906;0;3760059700906;;;;;;;START - CORNE BROYEE 25 KG - CB25 - ;20850;https://images-na.ssl-images-amazon.com/images/I/51IrO0PGoaS.jpg;;;;;;START;1000;false;6000;4000;1000;;;3666;;;TERREAU;;;CB25;;5;
;EAN3760059708025;0;3760059708025;;;;;;;START - PULVERISATEUR ADAPTABLE BAGUE 40+ RALLONGE TUYAU 120MM - PULVE - ;;https://images-na.ssl-images-amazon.com/images/I/21zCdFDnpPS.jpg;;;;;;START;2000;false;;;;;COL;647;;;;;;PULVE;;1;
;EAN3760059702382;0;3760059702382;;;;;;;START - ACTIVATEUR COMPOST UAB 5%N SAC 4KG - ACB4_V2 - ;4000;https://images-na.ssl-images-amazon.com/images/I/41xd5yPmmGS.jpg;;;;;;START;1000;false;3000;2500;1100;;AMZS;516;708;B093L4CKBP;TERREAU;;;ACB4_v2;;5;
;EAN3760059702733;0;3760059702733;;;;;;;START - ENGRAIS BLEU 12-12-17SK 10KG - EBT10 - ;10000;https://images-na.ssl-images-amazon.com/images/I/41KDp91OcPS.jpg;;;;;;START;2000;false;5600;3200;600;;AMZS;1565;;;TERREAU;;;EBT10;;5;
;EAN3760059705062;0;3760059705062;;;;;;;START - ENGRAIS LIQUIDE ORCHIDEE PAE 200ML SPRAY_NPK 0.4-0.6-0.8 - EOS200 - ;200;https://images-na.ssl-images-amazon.com/images/I/31HQSEHA+JS.jpg;;;;;;START;2000;false;42;181;42;;AMZS;257;392;;;;;EOS200;;12;
;EAN3700123854852;0;3700123854852;;;;;;;START - STATION STAR METEO FRANCE J+4 AVEC ECRAN LCD COULEUR - WD2950IT-BLA - ;600;https://images-na.ssl-images-amazon.com/images/I/41wXOwUXn-L.jpg;;;;;;START;2000;false;890;2000;340;;;8315;;WD2950IT-BLA;;;;WD2950IT-BLA;;1;
;EAN3760059706328;0;3760059706328;;;;;;;START - DESHERBANT CONCENTRE BIOCONTRÔLE AUTODOSEUR 500ML - DBIO500 - ;555;https://images-na.ssl-images-amazon.com/images/I/51iHRBtgOCS.jpg;;;;;;START;2000;false;47;221;106;;AMZS;1231;392;;;;;DBIO500;;12;
;EAN3700123851967;0;3700123851967;;;;;;;START CAPTEUR POUR STATION WS6860 1 TX141W;;https://images-na.ssl-images-amazon.com/images/I/21Rt+36swhS.jpg;;;;;;START;2000;false;;;;;;2801;;B093L6C97W;;;;TX141W;;1;
;EAN3700123853589;0;3700123853589;;;;;;;START - STATION AVEC THERMOMETRE SPECIAL PISCINE - WS9068 - ;926;http://ecx.images-amazon.com/images/I/41JpSYhtJWL.jpg;;;;;;START;2000;false;0;0;0;;;3824;;;Jardin;;;WS9068;;1;
;EAN3760059707066;0;3760059707066;;;;;;;START - SULFATE DE FER FLUIDISE EN SEAU DE 10 KG - SFS10 - ;10000;https://images-na.ssl-images-amazon.com/images/I/417dLqi0EMS.jpg;;;;;;START;1000;false;255;283;279;;AMZS;1015;738;;;;;SFS10;;5;
