ID_produit;userRef;stock;ean13;description;bullet_points;etat_produit;Prix_vente_mini;Prix_vente_conseil;Categorie;title;weight;Photo1;Photo2;Photo3;Photo4;Photo5;Photo6;supplier;taxRate;isPack;height;length;width;otherRef1;Mode_transport;Prix_achat;Prix_transport;otherRef5;otherRef6;otherRef7;otherRef8;otherRef9;otherRef10;otherRef11;otherRef14
;EAN41023;61.0;41023;;;;;;;MOOVO BAGUE DE GUIDAGE XA4 REF 41023;;;;;;;;NICE;2000.0;0;;;;;;100;;;;;;;;;
;EAN07551547;79.0;7551547;;;;;;;MOOVO FIXATION PILIER XW532;;;;;;;;NICE;2000.0;0;;;;;;10;;;;;;;;;
;EAN07551548;171.0;7551548;;;;;;;MOOVO FIXATION PORTAIL XW532;;;;;;;;NICE;2000.0;0;;;;;;10;;;;;;;;;
;EAN08663000;1.0;8663000;;;;;;;MHOUSE BRAS DROIT  WS100 WS200;;;;;;;;NICE;2000.0;0;;;;;COL;100;;;;;;;;;
;EAN09884610;32.0;9884610;;;;;;;MHOUSE COUSSINET RACLEUR WS2;13.0;;;;;;;NICE;2000.0;0;;;;;LET;200;;;;;;;;;
;EAN10414610;81.0;10414610;;;;;;;MHOUSE BAGUE BRONZE NAï¿½45;10.0;;;;;;;NICE;2000.0;0;;;;;LET;1;;;;;;;;;
;EAN13064540;56.0;13064540;;;;;;;MOOVO TS432 RALLONGE DE RAIL ;;;;;;;;NICE;2000.0;0;;;;;COL;100;;;;;;;;;
;EAN13074610;89.0;13074610;;;;;;;MOOVO TS432 PROFIL JONCTION RAIL;;;;;;;;NICE;2000.0;0;;;;;COL;400;;;;;;;;;
;EAN086645673;1.0;86645673;;;;;;;MHOUSE BRAS COMPLET  WS200 WS100;;;;;;;;NICE;2000.0;1;;;;;COL;1500;;;;;;;;;
;EAN87902125;219.0;87902125;;;;;;;Kit plantation avec terreau horticole 20L Florabella | Pur Ver Fertilisant universel lombricompost 100% vÃ©gÃ©tal | UAB;;;;;;;;Pur Ver;1000.0;1;;;;;;MOURA;;;;;;;;;
;EAN149145401;6.0;149145401;;;;;;;MOOVO LN432 CAPOT SUPERIEUR;653.0;;;;;;;NICE;2000.0;0;;;;;COL;200;665.0;;;;;;;;
;EAN1000024540;19.0;1000024540;;;;;;;MHOUSE CAPOT INFERIEUR WS2 WW2;;;;;;;;NICE;2000.0;0;;;;;COL;100;;;5,03E+12;;;;;;
;EAN3361673515;9.0;3361673515;;;;;;;ACTO FOUR11 INSECTICIDES;;https://m,mediaamazon,com/images/I/51tve4QB4KL,jpg;;;;;;SOJAM;2000.0;0;;;;;;497;;;;;;FOUR11;;;
;EAN0077924011139;11.0;77924011139;;;;;;;WEBER  PANIER A POISSON - PETIT MODELE, ACIER INOXYDABLE - 6470;800.0;https://thumbs.bfldr.com/at/psrh5xm7c99xg598bvgm7c?expiry=1656066685&fit=bounds&height=800&sig=MjRlNGQyYzk2ZWVkNTg4OGQzZTUyMjBmNTljZjg5NGE2ZDE5YzQ3Yw%3D%3D&width=1100;;;;;;WEBER;2000.0;0;50.0;99.0;210.0;;;2398;;;;;;6470;;4;
;EAN0077924029271;4.0;77924029271;;;;;;;WEBER  GO-ANYWHERE CHARCOAL GRILL - 1131004;6750.0;https://thumbs.bfldr.com/at/h54ntnftqchqjvsfxz45r9gb?expiry=1656070270&fit=bounds&height=800&sig=MWM0ZWFhNjZkODVhMzgxNGZhOGM4ZDE5NzNlM2JmYTUzMDVjNmJjYg%3D%3D&width=1100;;;;;;WEBER;2000.0;0;225.0;480.0;310.0;;;8341;;;;;;1131004;;24;
;EAN0077924035647;9.0;77924035647;;;;;;;WEBER  HOUSSE PREMIUM POUR SERIES Q 1000 - 7117;720.0;https://thumbs.bfldr.com/at/vzk92cw7tvfn4jw3nj3ss3nx?expiry=1656067657&fit=bounds&height=800&sig=ZWY4MWJkNGU2MDgzYmZiNDM3ZTdjOWNlZWYzMTkwM2Y1MjU1ZDE4NQ%3D%3D&width=1100;;;;;;WEBER;2000.0;0;110.0;130.0;110.0;;;2118;;;;;;7117;;4;
;EAN0077924048166;3.0;77924048166;;;;;;;WEBER  HOUSSE STANDARD POUR Q 1000 ET 2000 SUR PIED OU CHARIOT - 7177;250.0;https://thumbs.bfldr.com/at/8f774hf4tg5c8bfkjrn67bv?expiry=1656067588&fit=bounds&height=800&sig=NjgwYmM0ZjA5NzNjNzY4YzE4ZjQ2NTk1YmJkMDQ1YjgxNWQ3MWZkZQ%3D%3D&width=1100;;;;;;WEBER;2000.0;0;250.0;170.0;40.0;;;2718;;;Jardin;;;7177;;5;
;EAN0077924051395;2.0;77924051395;;;;;;;WEBER  EPONGE DE NETTOYAGE - 2 PIECES - 17688;200.0;https://thumbs.bfldr.com/at/cth5jqm3bfv8t4nv7bj3tnm?expiry=1656064389&fit=bounds&height=800&sig=YzY2MDAzMDk5ZWE4ZjUzNTE5YzM5NjYwODYwOGNlMTdlNjg2OThiYg%3D%3D&width=1100;;;;;;WEBER;2000.0;0;45.0;200.0;140.0;;AMZSok;276;392.0;;;;;17688;;12;
;EAN0077924083686;6.0;77924083686;;;;;;;WEBER  BOETE DE BOIS DE FUMAGE - POUR VOLAILLE - 0,7KG - 17833;750.0;https://thumbs.bfldr.com/at/nfctctrt68nqrt8x8wx3bbc?expiry=1656067165&fit=bounds&height=800&sig=ODRmN2RkOWJmNDU3MGY5MGRiNjRmNGE1NzRjNzEzZWZhM2JiZWM5Mg%3D%3D&width=1100;;;;;;WEBER;2000.0;0;115.0;320.0;170.0;;;529;;;;;;17833;;6;
;EAN0077924119866;12.0;77924119866;;;;;;;WEBER  NETTOYANT POUR GRILLES DE CUISSON - 300 ML - 17875;400.0;https://thumbs.bfldr.com/at/n3tgxjgt53st75gb3z3tc6?expiry=1656064210&fit=bounds&height=800&sig=YTY5YzM2ZWEyNmYyMzFlMzQxOWQ2YWFlNmM4YTNlZWQxNmE1MjY4Yg%3D%3D&width=1100;;;;;;WEBER;2000.0;0;5.0;245.0;10.0;;;818;;;;;;17875;;12;
;EAN0077924129843;4.0;77924129843;;;;;;;WEBER  CLASSIC KETTLE E 57 CM - 1341553;450.0;;;;;;;WEBER;2000.0;1;126.0;126.0;256.0;;;12137;;;;;;;;10;
;EAN0077924159510;5.0;77924159510;;;;;;;WEBER  BROSSE DE NETTOYAGE - POIGNEE BAMBOU, 46 CM - 6276;100.0;https://thumbs.bfldr.com/at/p88x4xmptjcmq3f7g7ktz9j?expiry=1656064498&fit=bounds&height=800&sig=MTA3Y2ExNWI3NzljYjViMzFmYmExYWUzZDkwNDUwZjhhNjVmNjA0Yw%3D%3D&width=1100;;;;;;WEBER;2000.0;0;460.0;65.0;50.0;;;974;;;;;;6276;;12;
;EAN803259574288;1.0;803259574288;;;;;;;NICE PR400 BATTERIE DE SECOURS POUR FILO;;;;;;;;NICE;2000.0;0;;;;;;10;;;;;;;;;
;EAN3086960237981;0.0;3086960237981;EDA BAC DE RANGEMENT STOCK R AVEC COUVERCLE Ã CHARNIERE 85L COULEUR NOIR 10274;â 2 KG pour 40 M316 | â Ãpandage facile | â Formule complÃ¨te pour toutes les cultures;;;;;EDA BAC DE RANGEMENT STOCK R AVEC COUVERCLE Ã  CHARNIERE 85L COULEUR NOIR 10274 ;2430.0;https://images-na.ssl-images-amazon.com/images/I/31g+XXYUA4L.jpg;https://m.media-amazon.com/images/I/71Y4-UzCLHL.jpg;;;;;EDA PLASTIQUES;2000.0;0;385.0;660.0;495.0;;COL;1003;1562.0;;;;;;;30;
;EAN3086960256395;1.0;3086960256395;EDA Plastiques vous propose une large gamme de contenant rÃ©sistant, lÃ©ger et facile Ã  nettoyer pour mettre en valeur vos jolies plantes !Ne cherchez plus et dÃ©couvrez vite un grand choix de pots en plastique, suspension, bacs ou jardiniÃ¨res, disponibles pour tous les styles, dans de nombreuses tailles et coloris !La gamme de jardiniÃ¨res Cancun sur pied est conÃ§ue en polypropylÃ¨ne injectÃ© et vous Ã©vitera de trop vous baisser lors de l'entretien de vos plantations. Ce nouveau modÃ¨le apportera une touche dÃ©corative et florale Ã  votre intÃ©rieur ou extÃ©rieur.Avantages produit : - Barre mÃ©tallique de renfort- Pieds avec tampons amovibles- Puits d'Ã©vacuation d'eau au fond de la jardiniÃ¨re- MatiÃ¨re lÃ©gÃ¨re et robuste - Design sobre et Ã©lÃ©gant - RÃ©sistante au gel et aux UV, cette jardiniÃ¨re peut Ãªtre utilisÃ©e en extÃ©rieur en toutes saisonsCaractÃ©ristiques produit :Gamme Cancun Longueur : 76 cmLargeur : 36.5 cmHauteur : 68 cmCapacitÃ© : 48 LitresMatiÃ¨re: PolypropylÃ¨neCouleur : Gris BÃ©ton;Avec barre mÃ©tallique de renfort | Zone de rÃ©tention d'eau | Pieds avec tampons amovibles pour Ã©vacuation trop plein | Volume 48L | Dim. 76 x 36,5 x 68 cm | Fabrication franÃ§aise;;;;;EDA - JARDINIERE HAUTE CANCUN - 13570 G.BT ;1908.0;https://images-na.ssl-images-amazon.com/images/I/21nbtuRc64L.jpg;https://m.media-amazon.com/images/I/41nX5NsihvL.jpg;https://m.media-amazon.com/images/I/81x+uWTNTFL.jpg;https://m.media-amazon.com/images/I/81IGLAsTNDL.jpg;https://m.media-amazon.com/images/I/71I698GByzL.jpg;https://m.media-amazon.com/images/I/81Ss97gEZEL.jpg;EDA PLASTIQUES;2000.0;0;680.0;760.0;365.0;;COL;1367;412.0;;;;;;;4;
;EAN3108241592777;200.0;3108241592777;;;;;;;POCHETTE MATELASSEE;;;;;;;;CENPAC;2000.0;0;210.0;;150.0;;;MOURA;;;;;;;;;
;EAN3121970144239;119.0;3121970144239;DescriptionNaturen paillage du maraÃ®cher - paille de chanvre 100L, Pour un potager et des petits fruits protÃ©gÃ©s des salissures et durablement dÃ©sherbÃ©s, Enrichit le sol une fois dÃ©gradÃ©, NF U 44 - 551, Support de culture vÃ©gÃ©tal, paillettes de chanvre, Produit Naturel;;;;;;NATUREN PAILLE DE CHANVRE DU MARAICHER 100L NATCHAN;11000.0;https://media.mr-bricolage.fr/media/catalog/product/cache/6b1c09900b407c50fce2db5e66ebc123/n/a/natchan-3121970144239-visuel_produit_base-natchan-3121970144239.jpg;https://m.media-amazon.com/images/I/51XWX0MIJKL.jpg;https://m.media-amazon.com/images/I/61Limws3KHL.jpg;https://m.media-amazon.com/images/I/612vZ5cKncL.jpg;https://m.media-amazon.com/images/I/61IbiYgU6XL.jpg;;EVERGREEN;1000.0;0;150.0;800.0;600.0;OK;COLok;705;1445.0;;TERREAU;;;NATCHAN;;22;3XNET
;EAN3121970144604;10.0;3121970144604;DescriptionKB ENGRAIS LIQUIDE CACTEES, PLANTES GRASSES KBCAC ARRET FOURNISSEUR;â 2 KG pour 40 M495 | â Ãpandage facile | â Formule complÃ¨te pour toutes les cultures;;;;;KB ENGRAIS LIQUIDE CACTEES, PLANTES GRASSES KBCAC ARRET FOURNISSEUR ;750.0;https://images-na.ssl-images-amazon.com/images/I/41Ke7bG9lxL.jpg;https://m.media-amazon.com/images/I/41Ke7bG9lxL.jpg;;;;;EVERGREEN;2000.0;0;46.0;180.0;78.0;OK;AMZS;252;463.0;B00EO2B2PM;;;ARRET PRODUIT;;;;
;EAN3121970150759;44.0;3121970150759;;;;;;;KB PUCERONS PRET A L EMPLOI 800ML CVPUCPAL  ;903.0;https://images-na.ssl-images-amazon.com/images/I/41GX1yEDSCL._AC_.jpg;;;;;;EVERGREEN;1000.0;0;270.0;140.0;60.0;OK;AMZSok;604;426.0;;;;CVPUCPAL-FBA;CVPUCPAL;;12;
;EAN3121970152746;1.0;3121970152746;;UN SUBSTRAT POUR BONSAÃS ! IdÃ©al pour favoriser le dÃ©veloppement de ces plantes en milieu exigu. Sa formule enrichie en terre vÃ©gÃ©tale assure le bon maintien des bonsaÃ¯s dans leur pot et conserve l'humiditÃ© nÃ©cessaire Ã  la plante. La croissance de la plante est maitrisÃ©e grÃ¢ce au dosage Ã©quilibrÃ© de l'engrais contenu dans ce substrat. Pour des arbres plus robustes. | UNE COMPOSITION UNIQUE : A base de terre vÃ©gÃ©tale, pouzzolane, tourbe et matiÃ¨res vÃ©gÃ©tales. La terre conserve l'humiditÃ© et apporte du poids Ã  la terre. La pouzzolane permet aux racines de respirer et augment la capacitÃ© de drainage. La tourbe retient l'eau, fixe et restitue les Ã©lÃ©ments fertilisants pour la croissance. Les matiÃ¨res vÃ©gÃ©tales facilitent l'aÃ©ration du sol et l'enracinement. | COMMENT L'UTILISER : Placer un petit grillage plastifiÃ© sur les trous d'Ã©vacuation d'eau du nouveau pot. Passer dans ces trous un fil de cuivre pour attavher le bonsaÃ¯. Disposer un lit de graviers ou de billes d'argiles de 2 cm. Recouvrir avec du substrat de quelques cm. DÃ©mÃªler les racines du bonsaÃ¯ et les tailler de 1/3/ Placer le bonsaÃ¯ dans le nouveau pot. Attacher le fil de cuivre au pied pour le caler. ComplÃ©ter avec du substrat sur 2-3 cm. Tasser et arroser. | COMMENT ARROSER ET DOSAGE : Arroser abondamment lors de la plantation puis en fonction des besoins de la plante. Vaporiser le feuillage par temps sec. Terreau 6 L : Pour 3 ou 4 bonsaÃ¯s. Pourquoi rempoter un bonsaÃ¯s : Quand la terre est trop compacte. Quand les racines sont trop longue et visibles Ã  l'extÃ©rieurs. Si les arrosage sont trop riche en calcaire. Pour renouveler le substrat appauvri. | CONSEIL FERTILIGENE NATUREN : Commencer la fertilisation de 6 Ã  8 semaines aprÃ¨s le rempotage Ã  raison d'une fertilisation toutes les 3 semaines de mars Ã  septembre avec un engrais bonsaÃ¯s FertiligÃ¨ne.;;;;;FERTILIGENE SUBSTRAT POUR BONSAIS 6L FBONS6;1988.0;https://images-na.ssl-images-amazon.com/images/I/51sWg3HDQzL.jpg;https://m.media-amazon.com/images/I/71WVU-IFBLL.jpg;https://m.media-amazon.com/images/I/41mvjzMSGpL.jpg;;;;EVERGREEN;1000.0;0;380.0;230.0;100.0;;AMZSok;384;597.0;;;;;;;42;
;EAN3121970152944;10.0;3121970152944;Naturen engrais gÃ©raniums 1L. Formule idÃ©ale pour gÃ©raniums et autres plantes de balcons. Pour renforcer et prolonger la coloration des fleurs. Nourrit en continu. Azote 100% organique. Utilisable en agriculture biologique*. AMM : NF U 42-001. 3-2-5 + oligo-Ã©lÃ©ments;;;;;;NATUREN ENGRAIS GERANIUMS ET PLANTES FLEURIES;1421.0;https://images-na.ssl-images-amazon.com/images/I/31HMjszCeBL.jpg;https://m.media-amazon.com/images/I/31HMjszCeBL.jpg;;;;;EVERGREEN;1000.0;0;280.0;100.0;60.0;OK;AMZSok;427;426.0;B00C0PHCWW;;;;;;;
;EAN3121970153026;30.0;3121970153026;ENGRAIS FRAISIERS NATUREN 750 G /NC;;;;;;NATUREN ENGRAIS FRAISIER 750G NATFR75;795.0;https://images-na.ssl-images-amazon.com/images/I/91xPkwEzk2L._AC_SL1500_.jpg;https://m.media-amazon.com/images/I/71ivIRN7aQL.jpg;;;;;EVERGREEN;1000.0;0;230.0;150.0;70.0;OK;AMZSok;314;426.0;B00YMVZ8FU;;;;;;10;
;EAN3121970154207;12.0;3121970154207;;;;;;;FERTILIGENE VER DE POIREAU TEIGNES CHENILLES 15ML PRODUIT INTERDIT A LA VENTE;62.0;;;;;;;EVERGREEN;2000.0;0;140.0;95.0;60.0;;AMZSok;1;392.0;;;;;;;;
;EAN3121970155112;4.0;3121970155112;NATUREN DESERBANT JARDIN COUR ALLEES 900ML NDESH900;â Produit Haute qualitÃ© | â Satisfait ou rembourser | â RecommandÃ© pour votre jardin;;;;;NATUREN DESERBANT JARDIN COUR ALLEES 900ML NDESH900;994.0;https://www.leclub-bricolage.fr/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/a/m/am886491-am886491-visuel_produit_base-3121970155112.jpg;https://m.media-amazon.com/images/I/41wTQgMC96L.jpg;https://m.media-amazon.com/images/I/41tHZDRqLSL.jpg;https://m.media-amazon.com/images/I/41Kry+3b58L.jpg;https://m.media-amazon.com/images/I/41SCyWZ701L.jpg;https://m.media-amazon.com/images/I/41ZC81qF4AL.jpg;EVERGREEN;1000.0;0;270.0;130.0;60.0;OK;AMZSok;799;426.0;B085CMWXG3;Jardin +;;;;;12;
;EAN3121970156041;8.0;3121970156041;;;;;;;NATUREN TRAITEMENT D  HIVER ET FIN D HIVER NTH400 REPORT DES VENTES REF FERTILIGENE FTH400 ID 3031025;458.0;;;;;;;EVERGREEN;1000.0;0;200.0;90.0;60.0;OK;AMZSok;372;392.0;;;;;;;12;
;EAN3121970156065;100.0;3121970156065;;;;;;;KB INSECTICIDE VEGETAL POLYVALENT 500ML INPOLY50;540.0;https://shop.nc/media/catalog/product/cache/1/image/300x300/9df78eab33525d08d6e5fb8d27136e95/i/n/insect_v_g_poly_500ml.jpg;;;;;;EVERGREEN;1000.0;0;200.0;90.0;55.0;;AMZSok;729;392.0;;;;;;;12;
;EAN3121970159127;4.0;3121970159127;KB ENGRAIS GAZON ORGANIQUE 2,5 KG KBGAZBIOC;â Produit Haute qualitÃ© | â Satisfait ou rembourser | â RecommandÃ© pour votre jardin;;;;;KB ENGRAIS GAZON ORGANIQUE 2,5 KG KBGAZBIOC;2702.0;https://images-na.ssl-images-amazon.com/images/I/41KLjgLE+hL.jpg;https://m.media-amazon.com/images/I/61kcfnUI6gL.jpg;;;;;EVERGREEN;1000.0;0;300.0;190.0;100.0;;AMZSok;981;597.0;;;;;KBGAZBIO;;4;
;EAN3121970159141;7.0;3121970159141;EVERGREEN ACTIVATEUR DE COMPOST UAB 1,5KG KBCOMPO;â 2 KG pour 40 M339 | â Ãpandage facile | â Formule complÃ¨te pour toutes les cultures;;;;;EVERGREEN ACTIVATEUR DE COMPOST UAB 1,5KG KBCOMPO;1620.0;https://images-na.ssl-images-amazon.com/images/I/518Lw9yg5YL.jpg;https://m.media-amazon.com/images/I/518Lw9yg5YL.jpg;;;;;EVERGREEN;2000.0;0;260.0;180.0;70.0;;AMZSok;426;476.0;B07N9L8P9G;;;;KBCOMPO;;10;
;EAN3121970160529;1.0;3121970160529;Description du produitLes piÃ¨ges jaunes permettent d'attirer les adultes de plusieurs espÃ¨ces d'insectes volants : moucherons, mouches blanches, pucerons, mouches des terreaux... Ils permettent ainsi de limiter la reproduction mais constituent surtout un moyen efficace de dÃ©tection, Pack contenant 7 piÃ¨ges engluÃ©s jaunes (attractif chromatique) pour traiter jusqu'Ã  7 plantes (1 ou plusieurs piÃ¨ges par plante). Pour prÃ©venir l'infestation, il est important que les piÃ¨ges soient installÃ©s dans la culture tÃ´t dans la saison avant que les populations de ravageurs commencent Ã  se reproduire.Contenu du coffret7 piÃ¨ges jaunes;Les piÃ¨ges jaunes permettent d'attirer les adultes de plusieurs espÃ¨ces d'insectes volants : moucherons, mouches blanches, pucerons, mouches des terreauxâ¦ | Ils permettent ainsi de limiter la reproduction mais constituent surtout un moyen efficace de dÃ©tection. | Pack contenant 7 piÃ¨ges engluÃ©s jaunes (attractif chromatique) pour traiter jusqu'Ã  7 plantes (1 ou plusieurs piÃ¨ges par plante). | Pour prÃ©venir l'infestation, il est important que les piÃ¨ges soient installÃ©s dans la culture tÃ´t dans la saison avant que les populations de ravageurs commencent Ã  se reproduire. | PÃ©riode favorable : Toute l'annÃ©e.;;;;;NATUREN 7 PIEGES JAUNE ENGLUES NPJAUNE;121.0;https://images-na.ssl-images-amazon.com/images/I/51tcjQW3Z6L.jpg;https://m.media-amazon.com/images/I/81zN3SQb6JL.jpg;;;;;EVERGREEN;1000.0;0;290.0;120.0;5.0;OK;AMZSok;439;392.0;B0795XQVCL;;;;NPJAUNE;;12;
